id,ürün fiyatı
0,86.79
1,29.68
2,31.33
3,19.22
4,33.65
5,14.05
6,16.44
7,31.92
8,32.46
9,23.14
10,11.00
11,29.31
12,24.34
13,26.00
14,22.35
15,10.28
16,32.64
17,21.42
18,21.68
19,16.08
20,15.74
21,20.33
22,35.06
23,17.62
24,13.58
25,12.19
26,18.78
27,8.34
28,21.79
29,4.97
30,8.41
31,7.17
32,1.79
33,4.23
34,9.46
35,3.87
36,5.56
37,21.07
38,13.92
39,10.96
40,19.49
41,18.16
42,9.19
43,29.70
44,20.57
45,41.40
46,42.61
47,22.15
48,33.02
49,41.01
50,32.71
51,32.79
52,11.01
53,42.14
54,56.70
55,46.89
56,10.99
57,13.46
58,16.93
59,19.11
60,10.17
61,13.59
62,16.48
63,18.48
64,11.22
65,13.41
66,8.11
67,8.17
68,22.12
69,21.50
70,11.25
71,13.25
72,13.51
73,11.10
74,38.95
75,41.72
76,43.17
77,41.65
78,48.54
79,85.69
80,29.81
81,31.29
82,18.56
83,33.53
84,13.73
85,15.78
86,31.59
87,31.40
88,23.28
89,10.90
90,29.47
91,24.21
92,25.62
93,22.31
94,10.25
95,32.91
96,21.30
97,21.49
98,16.05
99,15.71
100,19.68
101,35.03
102,17.59
103,13.55
104,12.16
105,18.29
106,8.31
107,21.88
108,4.97
109,8.38
110,7.14
111,1.66
112,4.10
113,9.34
114,3.84
115,5.53
116,21.04
117,13.89
118,11.06
119,19.45
120,18.21
121,9.12
122,29.74
123,20.64
124,41.36
125,42.84
126,22.64
127,33.09
128,40.98
129,33.20
130,32.76
131,11.05
132,42.18
133,56.74
134,47.06
135,10.78
136,13.15
137,16.84
138,18.99
139,10.80
140,13.19
141,16.29
142,18.45
143,11.19
144,13.38
145,8.08
146,8.14
147,22.09
148,21.46
149,11.22
150,12.83
151,13.20
152,11.07
153,38.21
154,41.77
155,43.06
156,42.02
157,49.19
158,86.59
159,30.01
160,30.69
161,18.68
162,34.04
163,14.14
164,15.64
165,31.49
166,32.15
167,23.14
168,11.00
169,28.91
170,23.34
171,25.98
172,22.33
173,10.28
174,32.62
175,21.40
176,21.66
177,16.06
178,15.73
179,20.31
180,35.05
181,18.13
182,13.35
183,12.02
184,18.97
185,8.33
186,21.85
187,4.95
188,8.41
189,7.16
190,1.71
